Customer_ID,Customer_Name,Salary_Level,Date,Category,Daily_Spend
1,Alice Smith,Low,2024-01-01,Groceries,1706
1,Alice Smith,Low,2024-01-01,Dining,1363
1,Alice Smith,Low,2024-01-01,Travel,1047
1,Alice Smith,Low,2024-01-01,Shopping,1560
1,Alice Smith,Low,2024-01-01,Entertainment,1507
1,Alice Smith,Low,2024-01-01,Healthcare,1537
1,Alice Smith,Low,2024-01-01,Electronics,1134
1,Alice Smith,Low,2024-01-01,Utilities,1094
1,Alice Smith,Low,2024-01-02,Groceries,1682
1,Alice Smith,Low,2024-01-02,Dining,1852
1,Alice Smith,Low,2024-01-02,Travel,1113
1,Alice Smith,Low,2024-01-02,Shopping,1606
1,Alice Smith,Low,2024-01-02,Entertainment,1545
1,Alice Smith,Low,2024-01-02,Healthcare,1655
1,Alice Smith,Low,2024-01-02,Electronics,964
1,Alice Smith,Low,2024-01-02,Utilities,1979
1,Alice Smith,Low,2024-01-03,Groceries,1825
1,Alice Smith,Low,2024-01-03,Dining,1454
1,Alice Smith,Low,2024-01-03,Travel,1429
1,Alice Smith,Low,2024-01-03,Shopping,1790
1,Alice Smith,Low,2024-01-03,Entertainment,1298
1,Alice Smith,Low,2024-01-03,Healthcare,894
1,Alice Smith,Low,2024-01-03,Electronics,1643
1,Alice Smith,Low,2024-01-03,Utilities,745
1,Alice Smith,Low,2024-01-04,Groceries,1067
1,Alice Smith,Low,2024-01-04,Dining,537
1,Alice Smith,Low,2024-01-04,Travel,744
1,Alice Smith,Low,2024-01-04,Shopping,520
1,Alice Smith,Low,2024-01-04,Entertainment,1633
1,Alice Smith,Low,2024-01-04,Healthcare,893
1,Alice Smith,Low,2024-01-04,Electronics,1933
1,Alice Smith,Low,2024-01-04,Utilities,1486
1,Alice Smith,Low,2024-01-05,Groceries,507
1,Alice Smith,Low,2024-01-05,Dining,1967
1,Alice Smith,Low,2024-01-05,Travel,827
1,Alice Smith,Low,2024-01-05,Shopping,789
1,Alice Smith,Low,2024-01-05,Entertainment,1010
1,Alice Smith,Low,2024-01-05,Healthcare,1411
1,Alice Smith,Low,2024-01-05,Electronics,860
1,Alice Smith,Low,2024-01-05,Utilities,1215
1,Alice Smith,Low,2024-01-06,Groceries,718
1,Alice Smith,Low,2024-01-06,Dining,905
1,Alice Smith,Low,2024-01-06,Travel,1252
1,Alice Smith,Low,2024-01-06,Shopping,1422
1,Alice Smith,Low,2024-01-06,Entertainment,1331
1,Alice Smith,Low,2024-01-06,Healthcare,1293
1,Alice Smith,Low,2024-01-06,Electronics,1743
1,Alice Smith,Low,2024-01-06,Utilities,1094
1,Alice Smith,Low,2024-01-07,Groceries,606
1,Alice Smith,Low,2024-01-07,Dining,1080
1,Alice Smith,Low,2024-01-07,Travel,1108
1,Alice Smith,Low,2024-01-07,Shopping,1809
1,Alice Smith,Low,2024-01-07,Entertainment,507
1,Alice Smith,Low,2024-01-07,Healthcare,1305
1,Alice Smith,Low,2024-01-07,Electronics,688
1,Alice Smith,Low,2024-01-07,Utilities,580
1,Alice Smith,Low,2024-01-08,Groceries,607
1,Alice Smith,Low,2024-01-08,Dining,1844
1,Alice Smith,Low,2024-01-08,Travel,1185
1,Alice Smith,Low,2024-01-08,Shopping,845
1,Alice Smith,Low,2024-01-08,Entertainment,827
